PLAYER NAME,ENS 208,MS 401,Other Supply Chain Course?,faculty_FASS,faculty_FENS,faculty_SOM,program_Computer Engineer,program_Computer Science,program_Electronics,program_Endüstri,program_Endüstri Mühendisliği,program_Endüstri/Bilgisayar Mühendisliği,program_Industrial Engineering,program_MA,program_MDBF,program_MS,program_Manifacturing Engineering,program_Manufacturing Engineering,program_Manufacturing Systems,program_Manufacturing systems engineering,program_Mekatronik,program_Ms,program_Mühendislik ve Doğa Bilimleri,program_Mühendislik ve Doğa Billimleri Programı,program_Not declared,program_Sophomore,program_Undeclared,program_haven't chosen yet Ms or Cs,program_manufacturing systems,program_manufacturing systems engineering,program_ms,program_msıe,program_undeclared,program_Üretim Mühendisligi,program_Üretim Mühendisliği,program_Üretim sistemleri,Grad_Undergrad_Undergraduate
manufacturer1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
manufacturer3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
manufacturer5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
manufacturer10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
manufacturer11,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
