Changes in the consumer demand.,My expected profit from the decision support tool.,Retailer's expected profit from the decision support tool.,Retailer's stock quantity decision in the previous period.,My profit in the previous period.,Retailer's profit in the previous period.,Retailer's profit being higher than mine.,Retailer's profit being lower than mine.,Retailer's loss. (negative profit),Retailer's rejections of the contract by placing 0 orders.,My cumulative profit.
2,3,3,2,2,2,2,0,2,1,0
3,2,1,3,2,0,1,1,1,2,2
2,2,1,2,2,1,3,2,0,2,0
2,1,1,3,3,1,0,0,2,3,2
1,2,2,3,2,2,2,2,3,2,1
3,3,1,2,3,1,3,1,3,3,3
0,3,1,3,3,1,2,2,1,0,1
1,3,2,3,-1,1,1,1,1,2,-1
2,2,2,3,1,3,0,0,0,1,0
1,3,3,2,2,2,3,3,3,-1,3
0,2,2,2,2,2,2,2,2,3,2
0,3,2,3,2,2,1,0,1,3,2
3,-1,2,3,2,2,2,2,3,1,2
2,3,0,2,2,1,0,0,2,3,1
1,3,1,1,0,0,3,0,0,3,3
1,3,1,1,3,2,3,3,3,2,1
1,1,1,1,2,2,1,2,1,1,1
0,3,2,3,2,-1,1,1,1,3,1
2,3,1,2,2,0,0,0,0,3,3
2,2,3,2,2,2,2,2,2,2,3
1,3,3,3,0,0,0,0,-1,2,0
2,2,0,2,1,0,0,0,2,2,2
