Experiment,Period,Player_ID,Demand,Wholesale_p.,Player_ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Realized_Retailer_Profit,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected_Sales,Expected_Leftovers,Expected_Retailer_Profit,Expected_Mfg_Profit,Expected_Mfg._Profit_Share,Predicted_Sales,Predicted_Leftovers,Predicted_Retailer_Profit,Predicted_Mfg_Profit,Realized_Retailer_Profit.1,Predicted_Mfg._Profit_Share,Behavioral_Category
1,1,Manufacturer 1,122,8,Retailer 1,60,60,0,62,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,2,Manufacturer 1,144,7,Retailer 1,80,80,0,64,320,400,0.4444444444444444,91,-11,75.65,15.349999999999994,347.80000000000007,320,0.4791853848457622,82.8,8.200000000000003,356.5999999999999,364,400,0.505134610047183,1
1,3,Manufacturer 1,57,7,Retailer 1,80,57,23,0,320,124,0.7207207207207207,91,-11,75.65,15.349999999999994,347.80000000000007,320,0.4791853848457622,82.8,8.200000000000003,356.5999999999999,364,124,0.505134610047183,1
1,4,Manufacturer 1,149,9,Retailer 1,51,51,0,98,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,5,Manufacturer 1,135,8,Retailer 1,60,60,0,75,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,6,Manufacturer 1,94,8,Retailer 1,60,60,0,34,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,7,Manufacturer 1,143,11,Retailer 1,0,0,0,143,0,0,0.0,58,-58,0.0,58.0,0.0,0,0.0,57.72,0.2800000000000011,54.63999999999999,464,0,0.8946475397192658,0
1,8,Manufacturer 1,66,9,Retailer 1,51,51,0,15,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,9,Manufacturer 1,123,12,Retailer 1,0,0,0,123,0,0,0.0,50,-50,0.0,50.0,0.0,0,0.0,50.0,0.0,0.0,450,0,1.0,0
1,10,Manufacturer 1,73,8,Retailer 1,60,60,0,13,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,11,Manufacturer 1,142,9,Retailer 1,51,51,0,91,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,12,Manufacturer 1,132,9,Retailer 1,51,51,0,81,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,13,Manufacturer 1,62,7,Retailer 1,80,62,18,0,320,184,0.6349206349206349,91,-11,75.65,15.349999999999994,347.80000000000007,320,0.4791853848457622,82.8,8.200000000000003,356.5999999999999,364,184,0.505134610047183,1
1,14,Manufacturer 1,136,9,Retailer 1,51,51,0,85,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,15,Manufacturer 1,146,8,Retailer 1,60,60,0,86,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
