Experiment,Period,Player ID,Demand,Wholesale p.,Buyback p.,Player ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Realized Retailer Profit,Realized_Retailer_Profit,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected Sales,Expected_Leftovers,Expected Retailer Profit,Expected Mfg Profit,Expected Mfg. Profit Share,Predicted Sales,Predicted Leftovers,Predicted Retailer Profit,Predicted Mfg Profit,Predicted Mfg. Profit Share
1,1,Manufacturer 1,122,8,4,Retailer 1,100,100,0,22,500,400,400,0.5555555555555556,100.0,0.0,87.75,12.25,302.0,451.0,0.598937583001328,87.75,12.25,302.0,451.0,0.598937583001328
1,2,Manufacturer 1,144,9,5,Retailer 1,105,105,0,39,630,315,315,0.6666666666666666,93.0,12.0,90.15,2.8499999999999943,151.05000000000015,615.75,0.8030125195618152,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,3,Manufacturer 1,57,9,5,Retailer 1,139,57,82,0,424,-157,-567,-2.965034965034965,93.0,46.0,99.84,-6.840000000000003,-87.12000000000009,868.2,1.1115378706406516,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,4,Manufacturer 1,149,8,4,Retailer 1,102,102,0,47,510,408,408,0.5555555555555556,100.0,2.0,88.74,11.260000000000005,293.9199999999999,464.96,0.6126923887834704,87.75,12.25,302.0,451.0,0.598937583001328
1,5,Manufacturer 1,135,9,5,Retailer 1,135,135,0,0,810,405,405,0.6666666666666666,93.0,42.0,99.3,-6.299999999999997,-54.90000000000008,841.5,1.0697940503432495,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,6,Manufacturer 1,94,9,5,Retailer 1,100,94,6,0,570,258,228,0.7142857142857143,93.0,7.0,87.75,5.25,179.25,573.75,0.7619521912350598,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,7,Manufacturer 1,143,9,5,Retailer 1,60,60,0,83,360,180,180,0.6666666666666666,93.0,-33.0,59.55,33.45,341.8499999999999,192.75,0.36054994388327727,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,8,Manufacturer 1,66,8,3,Retailer 1,106,66,40,0,410,64,-56,1.1581920903954803,94.0,12.0,90.6,3.4000000000000057,249.39999999999984,519.8,0.6757670306812273,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,9,Manufacturer 1,123,8,4,Retailer 1,100,100,0,23,500,400,400,0.5555555555555556,100.0,0.0,87.75,12.25,302.0,451.0,0.598937583001328,87.75,12.25,302.0,451.0,0.598937583001328
1,10,Manufacturer 1,73,9,6,Retailer 1,140,73,67,0,438,18,-384,8.11111111111111,100.0,40.0,99.95,0.04999999999999716,-60.299999999999926,839.7,1.077367205542725,87.75,12.25,226.5,526.5,0.6992031872509961
1,11,Manufacturer 1,142,9,6,Retailer 1,70,70,0,72,420,210,210,0.6666666666666666,100.0,-30.0,68.1,31.900000000000006,378.59999999999997,228.59999999999997,0.37648221343873517,87.75,12.25,226.5,526.5,0.6992031872509961
1,12,Manufacturer 1,132,8,3,Retailer 1,100,100,0,32,500,400,400,0.5555555555555556,94.0,6.0,87.75,6.25,271.75,481.25,0.6391102257636122,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,13,Manufacturer 1,62,9,5,Retailer 1,80,62,18,0,390,114,24,0.9420289855072463,93.0,-13.0,75.65,17.349999999999994,274.55000000000007,393.25,0.5888739143456124,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,14,Manufacturer 1,136,8,3,Retailer 1,140,136,4,0,688,524,512,0.5733333333333334,94.0,46.0,99.95,-5.950000000000003,61.55000000000008,717.85,0.9210289966641005,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,15,Manufacturer 1,146,8,3,Retailer 1,130,130,0,16,650,520,520,0.5555555555555556,94.0,36.0,98.4,-4.400000000000006,127.60000000000016,663.2,0.8386444107233181,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,16,Manufacturer 1,95,8,3,Retailer 1,60,60,0,35,300,240,240,0.5555555555555556,94.0,-34.0,59.55,34.45,337.94999999999993,196.64999999999998,0.36784511784511786,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,17,Manufacturer 1,139,9,6,Retailer 1,60,60,0,79,360,180,180,0.6666666666666666,100.0,-40.0,59.55,40.45,417.29999999999995,117.29999999999998,0.21941638608305275,87.75,12.25,226.5,526.5,0.6992031872509961
1,18,Manufacturer 1,102,8,2,Retailer 1,80,80,0,22,400,320,320,0.5555555555555556,90.0,-10.0,75.65,14.349999999999994,296.50000000000006,371.3,0.5560047918538484,82.2,7.799999999999997,282.0000000000001,434.4,0.6063651591289781
1,19,Manufacturer 1,83,8,4,Retailer 1,85,83,2,0,417,324,316,0.5688949522510232,100.0,-15.0,79.05,20.950000000000003,352.3999999999999,341.2,0.491926182237601,87.75,12.25,302.0,451.0,0.598937583001328
1,20,Manufacturer 1,142,9,7,Retailer 1,105,105,0,37,630,315,315,0.6666666666666666,110.0,-5.0,90.15,19.849999999999994,275.7500000000001,491.05000000000007,0.6403886280646843,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,21,Manufacturer 1,80,9,7,Retailer 1,100,80,20,0,460,200,60,0.8846153846153846,110.0,-10.0,87.75,22.25,308.75,444.25,0.5899734395750332,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,22,Manufacturer 1,101,7,0,Retailer 1,120,101,19,0,480,372,372,0.5633802816901409,92.0,28.0,95.85,-3.8499999999999943,310.1999999999998,480.0,0.607441154138193,83.39,8.61,356.68000000000006,368.0,0.5078103438759176
1,23,Manufacturer 1,113,9,6,Retailer 1,60,60,0,53,360,180,180,0.6666666666666666,100.0,-40.0,59.55,40.45,417.29999999999995,117.29999999999998,0.21941638608305275,87.75,12.25,226.5,526.5,0.6992031872509961
1,24,Manufacturer 1,104,8,3,Retailer 1,140,104,36,0,592,236,128,0.8222222222222222,94.0,46.0,99.95,-5.950000000000003,61.55000000000008,717.85,0.9210289966641005,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,25,Manufacturer 1,51,8,3,Retailer 1,70,51,19,0,293,109,52,0.8492753623188406,94.0,-24.0,68.1,25.900000000000006,334.9,272.29999999999995,0.44845191040843213,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,26,Manufacturer 1,76,8,4,Retailer 1,75,75,0,1,375,300,300,0.5555555555555556,100.0,-25.0,72.0,28.0,376.0,263.0,0.41158059467918623,87.75,12.25,302.0,451.0,0.598937583001328
1,27,Manufacturer 1,73,9,7,Retailer 1,72,72,0,1,432,216,216,0.6666666666666666,110.0,-38.0,69.69,40.31,470.45,149.82999999999998,0.2415522022312504,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,28,Manufacturer 1,83,8,3,Retailer 1,126,83,43,0,501,117,-12,1.0245398773006136,94.0,32.0,97.5,-3.5,151.5,640.5,0.8087121212121212,84.54,9.459999999999994,290.86,441.62,0.6029106596767148
1,29,Manufacturer 1,147,8,4,Retailer 1,70,70,0,77,350,280,280,0.5555555555555556,100.0,-30.0,68.1,31.900000000000006,384.79999999999995,222.39999999999998,0.3662714097496706,87.75,12.25,302.0,451.0,0.598937583001328
1,30,Manufacturer 1,115,9,7,Retailer 1,130,115,15,0,675,315,210,0.7627118644067796,110.0,20.0,98.4,11.599999999999994,92.00000000000014,698.8000000000001,0.8836621143146179,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,31,Manufacturer 1,139,9,7,Retailer 1,111,111,0,28,666,333,333,0.6666666666666666,110.0,1.0,92.7,17.299999999999997,234.50000000000006,544.9,0.6991275340005131,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,32,Manufacturer 1,59,9,6,Retailer 1,52,52,0,7,312,156,156,0.6666666666666666,100.0,-48.0,51.99,48.01,443.94,23.939999999999998,0.0511669658886894,87.75,12.25,226.5,526.5,0.6992031872509961
1,33,Manufacturer 1,122,9,7,Retailer 1,54,54,0,68,324,162,162,0.6666666666666666,110.0,-56.0,53.94,56.06,553.7,-68.42000000000002,-0.14099076821628753,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,34,Manufacturer 1,92,8,4,Retailer 1,80,80,0,12,400,320,320,0.5555555555555556,100.0,-20.0,75.65,24.349999999999994,365.20000000000005,302.6,0.45312967954477384,87.75,12.25,302.0,451.0,0.598937583001328
1,35,Manufacturer 1,93,9,7,Retailer 1,120,93,27,0,531,225,36,0.9365079365079365,110.0,10.0,95.85,14.150000000000006,169.24999999999986,620.9499999999999,0.7858137180460644,92.3,17.700000000000003,241.49999999999994,536.1,0.6894290123456791
1,36,Manufacturer 1,136,10,9,Retailer 1,110,110,0,26,770,220,220,0.7777777777777778,117.0,-7.0,92.3,24.700000000000003,229.89999999999992,547.7,0.7043467078189302,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,37,Manufacturer 1,116,10,9,Retailer 1,130,116,14,0,784,218,92,0.8949771689497716,117.0,13.0,98.4,18.599999999999994,48.20000000000013,742.6,0.9390490642387453,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,38,Manufacturer 1,105,10,9,Retailer 1,105,105,0,0,735,210,210,0.7777777777777778,117.0,-12.0,90.15,26.849999999999994,273.45000000000016,493.35,0.6433881064162753,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,39,Manufacturer 1,80,10,9,Retailer 1,120,80,40,0,480,120,-240,2.0,117.0,3.0,95.85,21.150000000000006,140.54999999999987,649.65,0.8221336370539105,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,40,Manufacturer 1,75,10,9,Retailer 1,80,75,5,0,515,145,100,0.8373983739837398,117.0,-37.0,75.65,41.349999999999994,479.95000000000005,187.85000000000002,0.28129679544773883,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,1,Manufacturer 2,122,8,5,Retailer 2,85,85,0,37,425,340,340,0.5555555555555556,107.0,-22.0,79.05,27.950000000000003,408.3499999999999,285.25,0.41126009227220306,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,2,Manufacturer 2,144,8,4,Retailer 2,77,77,0,67,385,308,308,0.5555555555555556,100.0,-23.0,73.49,26.510000000000005,371.9199999999999,278.96,0.4285889872173059,87.75,12.25,302.0,451.0,0.598937583001328
1,3,Manufacturer 2,57,9,5,Retailer 2,90,57,33,0,375,39,-126,1.5060240963855422,93.0,-3.0,82.2,10.799999999999997,230.4000000000001,486.0,0.6783919597989949,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,4,Manufacturer 2,149,9,5,Retailer 2,75,75,0,74,450,225,225,0.6666666666666666,93.0,-18.0,72.0,21.0,294.0,345.0,0.539906103286385,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,5,Manufacturer 2,135,10,7,Retailer 2,75,75,0,60,525,150,150,0.7777777777777778,90.0,-15.0,72.0,18.0,240.0,399.0,0.6244131455399061,82.2,7.799999999999997,141.00000000000006,575.4,0.803182579564489
1,6,Manufacturer 2,94,10,7,Retailer 2,51,51,0,43,357,102,102,0.7777777777777778,90.0,-39.0,51.0,39.0,375.0,84.0,0.1830065359477124,82.2,7.799999999999997,141.00000000000006,575.4,0.803182579564489
1,7,Manufacturer 2,143,9,5,Retailer 2,78,78,0,65,468,234,234,0.6666666666666666,93.0,-15.0,74.22,18.78,282.53999999999996,374.1,0.5697185672514621,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,8,Manufacturer 2,66,8,4,Retailer 2,51,51,0,15,255,204,204,0.5555555555555556,100.0,-49.0,51.0,49.0,400.0,59.0,0.12854030501089325,87.75,12.25,302.0,451.0,0.598937583001328
1,9,Manufacturer 2,123,8,5,Retailer 2,105,105,0,18,525,420,420,0.5555555555555556,107.0,-2.0,90.15,16.849999999999994,326.0500000000002,440.75,0.5747913406364109,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,10,Manufacturer 2,73,8,5,Retailer 2,115,73,42,0,365,166,-44,1.1370716510903427,107.0,8.0,94.2,12.799999999999997,274.4000000000001,511.0,0.6506238859180035,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,11,Manufacturer 2,142,10,8,Retailer 2,75,75,0,67,525,150,150,0.7777777777777778,100.0,-25.0,72.0,28.0,338.0,301.0,0.47104851330203446,87.75,12.25,151.0,602.0,0.799468791500664
1,12,Manufacturer 2,132,10,8,Retailer 2,51,51,0,81,357,102,102,0.7777777777777778,100.0,-49.0,51.0,49.0,494.0,-35.0,-0.07625272331154684,87.75,12.25,151.0,602.0,0.799468791500664
1,13,Manufacturer 2,62,9,5,Retailer 2,73,62,11,0,383,142,87,0.8148936170212766,93.0,-20.0,70.47,22.53,301.28999999999996,325.35,0.5191976254308694,83.97,9.030000000000001,215.79,512.85,0.7038455204216074
1,14,Manufacturer 2,136,8,4,Retailer 2,51,51,0,85,255,204,204,0.5555555555555556,100.0,-49.0,51.0,49.0,400.0,59.0,0.12854030501089325,87.75,12.25,302.0,451.0,0.598937583001328
1,15,Manufacturer 2,146,9,6,Retailer 2,90,90,0,56,540,270,270,0.6666666666666666,100.0,-10.0,82.2,17.799999999999997,283.20000000000005,433.20000000000005,0.6046901172529313,87.75,12.25,226.5,526.5,0.6992031872509961
1,16,Manufacturer 2,95,9,6,Retailer 2,82,82,0,13,492,246,246,0.6666666666666666,100.0,-18.0,77.04,22.959999999999994,324.24,354.24,0.5221082419526,87.75,12.25,226.5,526.5,0.6992031872509961
1,17,Manufacturer 2,139,9,6,Retailer 2,87,87,0,52,522,261,261,0.6666666666666666,100.0,-13.0,80.34,19.659999999999997,299.04,404.04,0.5746714456391876,87.75,12.25,226.5,526.5,0.6992031872509961
1,18,Manufacturer 2,102,10,8,Retailer 2,71,71,0,31,497,142,142,0.7777777777777778,100.0,-29.0,68.9,31.099999999999994,365.6,248.20000000000005,0.4043662430759205,87.75,12.25,151.0,602.0,0.799468791500664
1,19,Manufacturer 2,83,10,8,Retailer 2,62,62,0,21,434,124,124,0.7777777777777778,100.0,-38.0,61.34,38.66,425.36,124.72000000000003,0.22673065735892964,87.75,12.25,151.0,602.0,0.799468791500664
1,20,Manufacturer 2,142,10,8,Retailer 2,65,65,0,77,455,130,130,0.7777777777777778,100.0,-35.0,63.95,36.05,405.80000000000007,166.60000000000002,0.2910552061495458,87.75,12.25,151.0,602.0,0.799468791500664
1,21,Manufacturer 2,80,8,5,Retailer 2,110,80,30,0,400,230,80,0.8333333333333334,107.0,3.0,92.3,14.700000000000003,301.0999999999999,476.5,0.6127829218106997,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,22,Manufacturer 2,101,10,8,Retailer 2,51,51,0,50,357,102,102,0.7777777777777778,100.0,-49.0,51.0,49.0,494.0,-35.0,-0.07625272331154684,87.75,12.25,151.0,602.0,0.799468791500664
1,23,Manufacturer 2,113,10,8,Retailer 2,51,51,0,62,357,102,102,0.7777777777777778,100.0,-49.0,51.0,49.0,494.0,-35.0,-0.07625272331154684,87.75,12.25,151.0,602.0,0.799468791500664
1,24,Manufacturer 2,104,8,5,Retailer 2,125,104,21,0,520,353,248,0.6770833333333334,107.0,18.0,97.25,9.75,215.75,576.25,0.7275883838383839,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,25,Manufacturer 2,51,8,5,Retailer 2,125,51,74,0,255,-18,-388,-1.9172932330827068,107.0,18.0,97.25,9.75,215.75,576.25,0.7275883838383839,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,26,Manufacturer 2,76,10,8,Retailer 2,55,55,0,21,385,110,110,0.7777777777777778,100.0,-45.0,54.9,45.1,469.59999999999997,24.19999999999999,0.04900769542324826,87.75,12.25,151.0,602.0,0.799468791500664
1,27,Manufacturer 2,73,11,10,Retailer 2,0,0,0,73,0,0,0,,100.0,-100.0,0.0,100.0,1000.0,-1000.0,-inf,87.75,12.25,75.5,677.5,0.899734395750332
1,28,Manufacturer 2,83,8,5,Retailer 2,140,83,57,0,415,161,-124,1.4261168384879725,107.0,33.0,99.95,7.049999999999997,114.65000000000008,664.75,0.8528996664100589,91.04,15.959999999999994,316.28,455.20000000000005,0.5900347384248458
1,29,Manufacturer 2,147,10,9,Retailer 2,51,51,0,96,357,102,102,0.7777777777777778,117.0,-66.0,51.0,66.0,696.0,-237.0,-0.5163398692810458,94.89,22.11,167.67000000000007,620.01,0.7871343692870201
1,30,Manufacturer 2,115,7,3,Retailer 2,130,115,15,0,475,515,470,0.5026455026455027,106.0,24.0,98.4,7.599999999999994,293.60000000000014,497.20000000000005,0.6287303995953464,90.6,15.400000000000006,391.39999999999986,377.79999999999995,0.49115964638585546
1,31,Manufacturer 2,139,7,3,Retailer 2,130,130,0,9,520,650,650,0.4444444444444444,106.0,24.0,98.4,7.599999999999994,293.60000000000014,497.20000000000005,0.6287303995953464,90.6,15.400000000000006,391.39999999999986,377.79999999999995,0.49115964638585546
