Experiment,Period,Player_ID,Demand,Wholesale_p.,Revenue_Share,Player_ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Retailer_Profit,Realized_Mfg_Profit,Realized_Retailer_Profit.1,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected_Sales,Expected_Leftovers,Expected_Retailer_Profit,Expected_Mfg_Profit,Expected_Mfg._Profit_Share,Predicted_Sales,Predicted_Leftovers,Predicted_Retailer_Profit,Predicted_Mfg_Profit,Predicted_Mfg._Profit_Share,Behavioral_Category
1,1,Manufacturer 1  ,122,3,5,Retailer 1  ,90,90,0,32,360,450,360,0.5555555555555556        ,107.0,-17.0,82.2,24.8,305.4000000000001,411.0,        0.5737018425460636 ,91.04,15.959999999999994,316.28,455.2000000000001,0.5900347384248458,1
1,2,Manufacturer 1  ,144,0,8,Retailer 1  ,150,144,6,0,576,702,576,0.5492957746478874        ,150.0,0.0,100.5,49.5,402.0,354.0,        0.4682539682539682 ,100.5,49.5,402.0,354.0,0.4682539682539682,2
1,3,Manufacturer 1  ,57,2,7,Retailer 1  ,0,0,0,57,0,0,0,                          ,110.0,-110.0,0.0,110.0,0.0,0.0,                           ,92.3,17.700000000000003,241.4999999999999,536.1,0.6894290123456791,0
1,4,Manufacturer 1  ,149,2,6,Retailer 1  ,100,100,0,49,400,500,400,0.5555555555555556        ,117.0,-17.0,87.75,29.25,326.5,426.5,        0.5664010624169987 ,94.89,22.11,335.34000000000003,452.34,0.5742687385740403,1
1,5,Manufacturer 1  ,135,3,4,Retailer 1  ,110,110,0,25,550,440,550,0.4444444444444444        ,112.0,-2.0,92.3,19.700000000000003,408.3999999999999,369.2,        0.4747942386831276 ,93.09,18.91,408.7199999999999,372.36,0.4767245352588724,2
1,6,Manufacturer 1  ,94,3,5,Retailer 1  ,84,84,0,10,336,420,336,0.5555555555555556        ,107.0,-23.0,78.39,28.61,296.7300000000001,391.95,        0.5691322530057501 ,91.04,15.959999999999994,316.28,455.2000000000001,0.5900347384248458,0
1,7,Manufacturer 1  ,143,1,7,Retailer 1  ,125,125,0,18,500,625,500,0.5555555555555556        ,130.0,-5.0,97.25,32.75,361.25,430.75,        0.5438762626262627 ,98.4,31.599999999999994,362.0000000000001,428.80000000000007,0.5422357106727365,2
1,8,Manufacturer 1  ,66,7,1,Retailer 1  ,51,51,0,15,204,255,204,0.5555555555555556        ,86.0,-35.0,51.0,35.0,204.0,255.0,        0.5555555555555556 ,79.7,6.299999999999997,274.7000000000001,423.7,0.606672394043528,0
1,9,Manufacturer 1  ,123,4,4,Retailer 1  ,95,95,0,28,380,475,380,0.5555555555555556        ,100.0,-5.0,85.1,14.900000000000006,300.79999999999995,435.4,        0.5914153762564521 ,87.75,12.25,302.0,451.0,0.598937583001328,2
1,10,Manufacturer 1  ,73,2,5,Retailer 1  ,125,73,52,0,261,240,261,0.4790419161676646        ,121.0,4.0,97.25,23.75,430.75,361.25,        0.4561237373737373 ,96.15,24.849999999999994,431.0500000000002,359.75,0.4549190692969144,3
