LastMfgAction,LastRetAction,learning_rate,exploration_rounds
"{8: 24, 6: 22, 7: 25, 5: 12, 4: 7, 9: 10}","{1: 19, 2: 32, 3: 23, 4: 23, 0: 3}",0.01,500
"{6: 14, 5: 10, 9: 23, 7: 27, 8: 22, 4: 4}","{1: 9, 4: 27, 3: 35, 2: 27, 0: 2}",0.01,1000
"{7: 29, 4: 6, 6: 19, 5: 15, 9: 11, 8: 20}","{2: 37, 3: 25, 1: 10, 4: 27, 0: 1}",0.01,2000
"{9: 27, 6: 17, 8: 23, 5: 11, 7: 20, 4: 2}","{3: 30, 4: 32, 2: 23, 1: 12, 0: 3}",0.01,5000
"{7: 29, 8: 21, 9: 23, 5: 7, 6: 20}","{0: 14, 2: 34, 4: 19, 3: 18, 1: 15}",0.01,10000
"{7: 16, 6: 22, 9: 20, 5: 15, 8: 20, 3: 2, 4: 5}","{2: 34, 4: 27, 3: 26, 1: 9, 0: 4}",0.05,500
"{6: 14, 4: 5, 5: 16, 9: 16, 7: 26, 8: 22, 3: 1}","{3: 28, 1: 20, 2: 30, 4: 19, 0: 3}",0.05,1000
"{9: 21, 8: 17, 7: 26, 6: 19, 4: 2, 5: 15}","{2: 38, 3: 23, 0: 11, 1: 17, 4: 11}",0.05,2000
"{8: 37, 7: 25, 6: 25, 9: 13}","{4: 24, 1: 17, 2: 23, 3: 32, 0: 4}",0.05,5000
"{6: 72, 5: 7, 8: 5, 7: 15, 9: 1}","{4: 63, 3: 22, 2: 9, 1: 5, 0: 1}",0.05,10000
"{9: 19, 7: 25, 6: 16, 5: 17, 8: 15, 4: 8}","{4: 29, 3: 30, 2: 19, 0: 9, 1: 13}",0.1,500
"{6: 17, 7: 28, 9: 12, 5: 11, 8: 28, 4: 4}","{1: 25, 0: 8, 2: 28, 4: 21, 3: 18}",0.1,1000
"{8: 44, 6: 12, 7: 21, 9: 22, 5: 1}","{3: 29, 4: 33, 0: 7, 2: 21, 1: 10}",0.1,2000
"{6: 69, 8: 10, 7: 11, 9: 2, 5: 8}","{4: 63, 3: 26, 2: 7, 0: 1, 1: 3}",0.1,5000
"{6: 74, 7: 15, 8: 8, 5: 3}","{4: 70, 2: 8, 3: 21, 1: 1}",0.1,10000
