LastMfgAction,LastRetAction,learning_rate,exploration_rounds
"{5: 7, 1: 9, 9: 11, 3: 15, 8: 10, 7: 6, 2: 14, 0: 8, 6: 15, 4: 5}","{2: 32, 3: 19, 4: 17, 0: 11, 1: 21}",0.01,500
"{7: 10, 8: 14, 4: 11, 0: 13, 6: 10, 5: 10, 3: 11, 1: 8, 9: 6, 2: 7}","{2: 34, 1: 19, 4: 13, 3: 29, 0: 5}",0.01,1000
"{2: 8, 9: 14, 3: 9, 5: 18, 1: 11, 7: 10, 0: 4, 4: 10, 6: 10, 8: 6}","{4: 8, 2: 47, 0: 10, 1: 20, 3: 15}",0.01,2000
"{1: 20, 4: 13, 0: 6, 5: 9, 6: 10, 3: 7, 9: 12, 7: 12, 8: 7, 2: 4}","{3: 20, 1: 27, 2: 35, 0: 11, 4: 7}",0.01,5000
"{9: 8, 6: 12, 3: 15, 1: 14, 7: 11, 8: 9, 5: 9, 4: 9, 0: 6, 2: 7}","{2: 48, 1: 25, 0: 6, 4: 5, 3: 16}",0.01,10000
"{1: 10, 9: 10, 8: 6, 0: 8, 7: 12, 3: 10, 2: 14, 5: 10, 4: 12, 6: 8}","{3: 26, 2: 37, 1: 14, 4: 12, 0: 11}",0.05,500
"{7: 13, 0: 11, 9: 10, 2: 9, 5: 12, 3: 7, 6: 14, 1: 10, 4: 8, 8: 6}","{1: 20, 3: 20, 2: 39, 4: 11, 0: 10}",0.05,1000
"{2: 15, 4: 6, 8: 7, 5: 15, 6: 12, 7: 8, 1: 13, 3: 13, 0: 6, 9: 5}","{3: 25, 1: 27, 4: 9, 0: 13, 2: 26}",0.05,2000
"{0: 10, 3: 14, 7: 8, 4: 9, 6: 7, 2: 14, 5: 9, 8: 12, 1: 10, 9: 7}",{2: 100},0.05,5000
"{0: 11, 9: 10, 5: 9, 6: 10, 2: 10, 7: 14, 3: 14, 1: 6, 8: 5, 4: 11}",{2: 100},0.05,10000
"{5: 13, 9: 10, 1: 8, 8: 9, 3: 10, 0: 9, 6: 8, 7: 15, 4: 10, 2: 8}","{2: 32, 3: 21, 1: 21, 4: 16, 0: 10}",0.1,500
"{8: 16, 6: 11, 0: 6, 5: 12, 9: 13, 7: 8, 2: 11, 3: 7, 1: 13, 4: 3}","{2: 51, 3: 20, 0: 5, 4: 12, 1: 12}",0.1,1000
"{6: 9, 0: 12, 3: 12, 9: 9, 7: 13, 5: 12, 2: 9, 4: 6, 1: 11, 8: 7}","{2: 93, 1: 6, 3: 1}",0.1,2000
"{5: 11, 8: 12, 4: 9, 7: 12, 1: 9, 9: 9, 6: 10, 2: 10, 3: 12, 0: 6}",{2: 100},0.1,5000
"{8: 9, 1: 14, 7: 9, 2: 7, 0: 12, 9: 14, 3: 13, 4: 10, 5: 6, 6: 6}",{2: 100},0.1,10000
