Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,0,"[0, 0, 0]",4,1,328,347.26732673267315,"[7, 0, 0]",1.0,0.9998
0,1,"[7, 0, 0]",4,3,404,347.4554455445543,"[7, 0, 0]",1.0,0.9996
0,2,"[7, 0, 0]",4,1,328,347.26732673267315,"[7, 0, 0]",1.0,0.9994000000000001
0,3,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.9992000000000001
0,4,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.9990000000000001
0,5,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.9988000000000001
0,6,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9986000000000002
0,7,"[7, 0, 0]",4,3,404,347.4554455445543,"[7, 0, 0]",1.0,0.9984000000000002
0,8,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9982000000000002
0,9,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9980000000000002
0,10,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9978000000000002
0,11,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9976000000000003
0,12,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9974000000000003
0,13,"[7, 0, 0]",4,4,440,332.5742574257424,"[7, 0, 0]",1.0,0.9972000000000003
0,14,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9970000000000003
0,15,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9968000000000004
0,16,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9966000000000004
0,17,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9964000000000004
0,18,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9962000000000004
0,19,"[7, 0, 0]",4,3,404,347.4554455445543,"[7, 0, 0]",1.0,0.9960000000000004
0,20,"[7, 0, 0]",4,2,368,352.7128712871288,"[7, 0, 0]",1.0,0.9958000000000005
0,21,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9956000000000005
0,22,"[7, 0, 0]",4,0,292,332.2079207920792,"[7, 0, 0]",1.0,0.9954000000000005
