Run,Episode,LastMfgAction,LastRetAction
1,1,5,4
1,2,9,1
1,3,0,3
1,4,4,3
1,5,2,0
1,6,1,2
1,7,8,4
1,8,8,1
1,9,1,2
1,10,0,3
1,11,8,2
1,12,8,2
1,13,8,1
1,14,7,4
1,15,1,1
1,16,6,1
1,17,6,1
1,18,1,3
1,19,3,4
1,20,9,2
1,21,4,3
1,22,4,2
1,23,3,1
1,24,4,1
1,25,6,4
1,26,4,3
1,27,6,0
1,28,2,0
1,29,4,3
1,30,7,3
1,31,7,3
1,32,9,4
1,33,1,0
1,34,4,1
1,35,1,2
1,36,2,0
1,37,5,3
1,38,2,3
1,39,7,4
1,40,1,2
1,41,3,3
1,42,5,1
1,43,6,4
1,44,4,3
1,45,9,0
1,46,6,3
1,47,9,1
1,48,9,1
1,49,1,2
1,50,7,2
Frequency,Frequency,"{5: 3, 9: 6, 0: 2, 4: 8, 2: 4, 1: 8, 8: 5, 7: 5, 6: 6, 3: 3}","{4: 8, 1: 12, 3: 14, 0: 6, 2: 10}"
