LastMfgAction,LastRetAction,learning_rate,exploration_rounds
{7: 100},"{3: 27, 4: 15, 0: 12, 1: 25, 2: 21}",0.01,500
{7: 100},"{1: 23, 4: 16, 2: 34, 3: 19, 0: 8}",0.01,1000
{7: 100},"{2: 31, 1: 23, 3: 29, 4: 7, 0: 10}",0.01,2000
{7: 100},"{3: 29, 2: 38, 0: 13, 1: 17, 4: 3}",0.01,5000
{7: 100},"{2: 32, 1: 28, 3: 35, 4: 3, 0: 2}",0.01,10000
{7: 100},"{1: 25, 2: 29, 4: 19, 3: 14, 0: 13}",0.05,500
{7: 100},"{0: 14, 3: 29, 1: 28, 2: 26, 4: 3}",0.05,1000
{7: 100},"{2: 32, 4: 10, 3: 28, 1: 23, 0: 7}",0.05,2000
{7: 100},{2: 100},0.05,5000
{7: 100},{2: 100},0.05,10000
{7: 100},"{4: 14, 1: 24, 2: 41, 3: 12, 0: 9}",0.1,500
{7: 100},"{1: 21, 3: 31, 2: 36, 0: 8, 4: 4}",0.1,1000
{7: 100},"{2: 99, 3: 1}",0.1,2000
{7: 100},{2: 100},0.1,5000
{7: 100},{2: 100},0.1,10000
