Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,0,"[0, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.999875
0,1,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9997499999999999
0,2,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9996249999999999
0,3,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9994999999999998
0,4,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9993749999999998
0,5,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9992499999999997
0,6,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9991249999999997
0,7,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9989999999999997
0,8,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9988749999999996
0,9,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9987499999999996
0,10,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9986249999999995
0,11,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9984999999999995
0,12,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9983749999999995
0,13,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9982499999999994
0,14,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9981249999999994
0,15,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9979999999999993
0,16,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9978749999999993
0,17,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9977499999999992
0,18,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9976249999999992
0,19,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9974999999999992
0,20,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9973749999999991
0,21,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9972499999999991
0,22,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.997124999999999
0,23,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.996999999999999
0,24,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.996874999999999
0,25,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9967499999999989
0,26,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9966249999999989
0,27,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9964999999999988
0,28,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9963749999999988
0,29,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9962499999999987
0,30,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9961249999999987
0,31,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9959999999999987
0,32,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9958749999999986
0,33,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9957499999999986
0,34,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9956249999999985
0,35,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9954999999999985
0,36,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9953749999999985
0,37,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9952499999999984
0,38,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9951249999999984
0,39,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9949999999999983
0,40,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9948749999999983
0,41,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9947499999999982
0,42,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9946249999999982
